Date,Open,High,Low,Close,Adj Close,Volume
"May 26, 2023","13,977.75","14,369.00","13,924.50","14,332.50","14,332.50","819,148"
"May 25, 2023","13,877.00","14,031.25","13,803.00","13,976.50","13,976.50","819,148"
"May 24, 2023","13,729.00","13,845.75","13,566.50","13,650.25","13,650.25","704,804"
"May 23, 2023","13,913.25","13,979.25","13,710.00","13,728.75","13,728.75","658,680"
"May 22, 2023","13,805.50","13,946.75","13,794.25","13,902.50","13,902.50","538,203"
"May 19, 2023","13,908.50","13,960.25","13,814.25","13,858.00","13,858.00","659,819"
"May 18, 2023","13,640.50","13,913.00","13,628.25","13,894.00","13,894.00","749,496"
"May 17, 2023","13,498.50","13,669.00","13,474.25","13,643.50","13,643.50","621,137"
"May 16, 2023","13,461.00","13,554.50","13,426.25","13,483.25","13,483.25","561,834"
"May 15, 2023","13,378.75","13,480.00","13,350.00","13,468.00","13,468.00","495,940"
"May 12, 2023","13,446.00","13,494.25","13,310.50","13,396.25","13,396.25","628,035"
"May 11, 2023","13,410.00","13,470.25","13,361.50","13,446.50","13,446.50","653,399"
"May 10, 2023","13,258.75","13,446.75","13,202.75","13,409.50","13,409.50","839,699"
"May 09, 2023","13,338.50","13,347.00","13,250.50","13,264.75","13,264.75","552,248"
"May 08, 2023","13,316.00","13,368.00","13,254.50","13,352.25","13,352.25","506,054"
"May 05, 2023","13,060.00","13,359.00","13,055.75","13,317.75","13,317.75","573,291"
"May 04, 2023","13,064.00","13,173.00","13,001.75","13,043.75","13,043.75","656,440"
"May 03, 2023","13,162.00","13,314.00","13,080.00","13,100.75","13,100.75","648,753"
"May 02, 2023","13,290.00","13,334.75","13,110.25","13,184.50","13,184.50","664,855"
"May 01, 2023","13,317.00","13,370.25","13,258.75","13,306.75","13,306.75","487,908"
"Apr 28, 2023","13,215.00","13,336.00","13,169.00","13,320.25","13,320.25","671,058"
"Apr 27, 2023","12,965.00","13,333.00","12,936.00","13,231.25","13,231.25","728,241"
"Apr 26, 2023","12,940.00","13,012.25","12,863.75","12,887.75","12,887.75","755,124"
"Apr 25, 2023","13,050.25","13,059.50","12,800.00","12,809.50","12,809.50","694,266"
"Apr 24, 2023","13,070.00","13,134.00","12,967.25","13,056.50","13,056.50","582,286"
"Apr 21, 2023","13,089.00","13,122.00","12,982.50","13,090.50","13,090.50","593,982"
"Apr 20, 2023","13,162.00","13,200.00","13,021.75","13,074.25","13,074.25","680,299"
"Apr 19, 2023","13,170.50","13,226.75","13,065.00","13,183.00","13,183.00","529,506"
"Apr 18, 2023","13,184.00","13,298.75","13,138.00","13,193.00","13,193.00","576,668"
"Apr 17, 2023","13,212.50","13,218.00","13,076.75","13,186.50","13,186.50","540,742"
"Apr 14, 2023","13,183.00","13,255.00","13,058.00","13,181.25","13,181.25","627,824"
"Apr 13, 2023","12,957.00","13,228.00","12,925.50","13,209.75","13,209.75","558,233"
"Apr 12, 2023","13,073.75","13,241.75","12,937.75","12,952.25","12,952.25","684,779"
"Apr 11, 2023","13,163.25","13,208.75","13,053.50","13,074.75","13,074.75","549,047"
"Apr 10, 2023","13,179.75","13,203.25","12,967.50","13,158.00","13,158.00","553,003"
"Apr 06, 2023","13,072.75","13,191.00","12,953.25","13,170.75","13,170.75","41,224"
"Apr 05, 2023","13,230.00","13,247.25","13,006.00","13,079.75","13,079.75","594,608"
"Apr 04, 2023","13,259.00","13,348.75","13,168.25","13,219.00","13,219.00","577,032"
"Apr 03, 2023","13,262.00","13,278.75","13,154.00","13,270.00","13,270.00","542,896"
"Mar 31, 2023","13,084.25","13,311.50","13,057.50","13,301.75","13,301.75","624,955"
"Mar 30, 2023","12,962.50","13,111.75","12,931.50","13,082.00","13,082.00","583,151"
"Mar 29, 2023","12,745.50","12,994.00","12,742.00","12,965.00","12,965.00","566,316"
